Street,lat_1,lon_1,lat_2,lon_2,Unnamed: 5,offset,dir,segment,X_1,Y_1,X_2,Y_2,heading,length,X_1_r,Y_1_r,X_2_r,Y_2_r
Alexandras,37.991767,23.731317,37.990439,23.739712,,0,WE,0,110.7877025,248.3356083,1005.939543,101.3705068,-0.162727237,907.1359099,69.09124341,263.0035921,976.2271533,263.0035921
Oktovriou,37.990095,23.730865,37.991268,23.73116,,-204.3591694,SN,0,62.59131989,63.30123348,94.04692359,193.1130287,1.333061699,133.5685486,76.26117537,-45.92333412,209.829724,-45.92333412
Oktovriou,37.991268,23.73116,37.991638,23.731253,,-70.79062075,SN,1,94.04692359,193.1130287,103.9634359,234.0596308,1.333189615,42.13029123,209.823848,-45.95017423,251.9541392,-45.95017423
Oktovriou,37.991638,23.731253,37.991878,23.731354,,-28.66032952,SN,2,103.9634359,234.0596308,114.7329816,260.6195889,1.185574309,28.66032952,255.9723869,-8.393086305,284.6327165,-8.393086305
Oktovriou,37.991878,23.731354,37.99203,23.731415,LT,0,SN,3,114.7329816,260.6195889,121.2373607,277.4408957,1.201829518,18.03505779,284.4586874,-13.01853797,302.4937452,-13.01853797
Oktovriou,37.99203,23.731415,37.992189,23.731427,,18.03505779,SN,4,121.2373607,277.4408957,122.5169107,295.0368679,1.498205754,17.64243428,285.5032068,-100.7961664,303.145641,-100.7961664
Oktovriou,37.992189,23.731427,37.992436,23.731486,,35.67749207,SN,5,122.5169107,295.0368679,128.8080314,322.3714915,1.344583495,28.04923964,314.9992836,-53.2221583,343.0485233,-53.2221583
Oktovriou,37.992436,23.731486,37.99289,23.731599,,63.72673171,SN,6,128.8080314,322.3714915,140.8571271,372.6140789,1.335423087,51.66718781,343.5216601,-50.07750471,395.1888479,-50.07750471
Oktovriou,37.99289,23.731599,37.993689,23.731799,,115.3939195,SN,7,140.8571271,372.6140789,162.1829601,461.0366061,1.334134972,90.95787194,395.2530256,-49.56841475,486.2108976,-49.56841475
Metsovou,37.990815,23.731174,37.990567,23.732776,,0,WE,0,95.5397319,142.9811078,266.3596543,115.5358177,-0.15930649,173.010664,71.64836742,156.3264181,244.6590314,156.3264181
Metsovou,37.990567,23.732776,37.990163,23.735361,,173.010664,WE,1,266.3596543,115.5358177,541.996046,70.82655494,-0.160803285,279.2388558,244.4247688,156.6924473,523.6636246,156.6924473
Loulianou_W,37.99173,23.728717,37.991367,23.731022,,-249.0415703,WE,0,-166.4481267,244.240948,79.33209881,204.0690114,-0.162013991,249.0415703,-203.665958,214.1933639,45.3756123,214.1933639
Loulianou_E,37.991248,23.731342,37.990713,23.734534,,0,WE,0,113.4534316,190.8996989,453.8137265,131.6931256,-0.172229252,345.4714875,79.05869928,207.5189106,424.5301868,207.5189106
Vasileos,37.989963,23.731004,37.989524,23.733585,,352.4714875,WE,0,77.41277384,48.69325652,352.6226489,0.110666492,-0.174729079,279.4651022,67.76916024,61.40937798,347.2342625,61.40937798
Deligianni,37.989488,23.733681,37.989259,23.735144,,0,WE,0,362.8590487,-3.873327223,518.8575172,-29.21595391,-0.161047409,158.0435728,358.784702,54.36202274,516.8282748,54.36202274
In_ramp,37.991298,23.731331,37.991539,23.731917,,0,NE,0,112.2805108,196.4330235,174.7652015,223.1036481,0.403423498,67.9386399,180.3804792,136.5859749,248.3191191,136.5859749
Out_ramp_1,37.991796,23.731867,37.992147,23.731497,,0,NW,0,169.4337433,251.5449365,129.9809522,290.3888753,2.36397055,55.36582248,55.74489617,-298.1193637,111.1107187,-298.1193637
Out_ramp_2,37.991621,23.732863,37.992042,23.732515,,0,NW,0,275.6363917,232.1783004,238.5294423,278.7688936,2.243367196,59.56180881,9.893908491,-360.2558732,69.4557173,-360.2558732
Cheiden_E,37.992822,23.731697,37.992676,23.732592,,0,WE,0,151.3067852,365.0887574,246.739888,348.9314496,-0.167714666,96.79119637,88.23968352,385.2237042,185.0308799,385.2237042
Cheiden_W,37.993059,23.730343,37.992886,23.731438,,-118.31818,WE,0,6.930895729,391.316716,123.6898315,372.1714129,-0.162526591,118.31818,-56.48018878,387.2812903,61.83799118,387.2812903
Kotsika,37.993189,23.731805,37.993046,23.732681,,0,WE,0,162.8227351,405.70336,256.2298837,389.8780516,-0.167829197,94.73824885,92.76534807,427.2014157,187.5035969,427.2014157
Egiptou,37.992177,23.731549,37.992103,23.732123,,0,WE,0,135.5256688,293.70887,196.7308095,285.5195496,-0.133011185,61.75058075,95.37710443,309.0878761,157.1276852,309.0878761
Egiptou,37.992066,23.732148,37.992003,23.732535,,66.75058075,WE,1,199.3965387,281.4248894,240.6620256,274.4529004,-0.167373832,41.85031706,149.7265602,310.7103236,191.5768773,310.7103236
Mavrommaeon_S,37.989854,23.73193,37.990603,23.732115,,-183.0421667,SN,0,176.1513807,36.63060888,195.8777762,119.5198115,1.337157374,85.20417,76.41778296,-162.8847227,161.621953,-162.8847227
Mavrommaeon_S,37.990603,23.732115,37.991462,23.732332,,-97.8379967,SN,1,195.8777762,119.5198115,219.016305,214.5823282,1.332035909,97.8379967,162.4540381,-162.0548489,260.2920348,-162.0548489
Mavrommaeon_N,37.991682,23.732462,37.991948,23.732563,,0,SN,0,232.8780965,238.9289564,243.6476422,268.3662433,1.220074174,31.34544582,304.3954643,-136.6113296,335.7409101,-136.6113296
Mavrommaeon_N,37.991948,23.732563,37.992163,23.732596,,31.34544582,SN,1,243.6476422,268.3662433,247.1664046,292.1595391,1.423971739,24.05208129,301.1238611,-201.7647997,325.1759424,-201.7647997
Mavrommaeon_N,37.992163,23.732596,37.9931,23.732821,,55.39752711,SN,2,247.1664046,292.1595391,271.1579668,395.8540422,1.343429312,106.4337589,340.3548533,-174.9485687,446.7886122,-174.9485687
Rethimnou,37.989732,23.732651,37.991339,23.73306,,-183.1103166,SN,0,253.0310087,23.12929685,296.6423372,200.9703496,1.330315446,183.1103166,82.72803647,-240.2409784,265.838353,-240.2409784
Saripolou,37.989646,23.73316,37.990416,23.733357,,-183.1103166,SN,0,307.3052537,13.61197853,328.3111992,98.82517744,1.329104616,87.76411007,86.76847114,-295.115295,174.5325812,-295.115295
Mpoumpoulinas,37.989491,23.73367,37.991199,23.734111,,-194.7797463,SN,0,361.6861279,-3.541327748,408.7095897,185.4770407,1.326968858,194.7797463,83.88119469,-351.8427792,278.660941,-351.8427792
Zaimi,37.989405,23.734283,37.990232,23.734491,,-193.0263988,SN,0,427.0498061,-13.05864607,449.2286724,78.46254289,1.333043874,94.17021897,87.88699701,-418.1123544,182.057216,-418.1123544
Zaimi,37.990232,23.734491,37.9911,23.73471,,-98.85617984,SN,1,449.2286724,78.46254289,472.5804596,174.521058,1.332322622,98.85617984,182.358733,-417.9809365,281.2149128,-417.9809365
Navarchou,37.989328,23.734758,37.990176,23.734974,,-193.2039492,SN,0,477.6986595,-21.57996596,500.7305592,72.26521934,1.330128712,96.63015681,92.9019675,-469.0745449,189.5321243,-469.0745449
Navarchou,37.990176,23.734974,37.991023,23.735192,,-96.57379243,SN,1,500.7305592,72.26521934,523.9757171,165.9997381,1.327710978,96.57379243,190.6656667,-468.6149361,287.2394591,-468.6149361
Spirou,37.989252,23.735228,37.990062,23.735399,,-192.3060102,SN,0,527.8143671,-29.99061936,546.0479543,59.64923924,1.370124686,91.47550466,75.8191436,-523.2006315,167.2946483,-523.2006315
Spirou,37.990062,23.735399,37.990946,23.735628,,-100.8305055,SN,1,546.0479543,59.64923924,570.4660331,157.4784182,1.326194981,100.8305055,190.1099076,-515.3490305,290.9404131,-515.3490305
Kallidromiou,37.989237,23.735994,37.989961,23.735393,,-102.5982307,NW,0,609.4923075,-31.65061674,545.4081793,48.47192354,2.245431446,102.5982307,-405.413531,-456.2044535,-302.8153002,-456.2044535
Enianos,37.991783,23.730012,37.991637,23.731095,,-116.6042329,WE,0,-28.36335791,250.1062721,87.11602786,233.9489643,-0.139012656,116.6042329,-62.74581119,243.7633906,53.85842173,243.7633906
Feron,37.992307,23.730126,37.99214,23.731235,,-119.6872323,WE,0,-16.20763309,308.095514,102.044111,289.6142098,-0.155033635,119.6872323,-63.5872987,301.8976458,56.09993361,301.8976458
Gkillfordou,37.992681,23.73024,37.992508,23.731346,,-119.4757943,WE,0,-4.051908273,349.484782,113.8799483,330.3394789,-0.160938045,119.4757943,-60.00245656,344.3192356,59.47333775,344.3192356
Skaramagka,37.990782,23.730174,37.990666,23.730875,,-75.84139569,WE,0,-11.08943317,139.3291135,63.65761155,126.4918005,-0.170084118,75.84139569,-34.5129963,135.4416129,41.32839939,135.4416129
