Route_name,Time_stamp,Maximum_queue_length_points,Maximum_queue_length_meters,Num_vehicles,Coordinates
,,,,,
LeofAlexandras_tw_28isOktovriou,310.04,243,137.1805701,17,"[(23.732463, 37.991597999999996), (23.732467999999997, 37.991597999999996), (23.732473, 37.991597999999996), (23.732477999999997, 37.991597999999996), (23.732483, 37.991593), (23.732488, 37.991593), (23.732492999999998, 37.991593), (23.732498, 37.991593), (23.732502999999998, 37.991593), (23.732508, 37.991593), (23.732512999999997, 37.991588), (23.732518, 37.991588), (23.732522999999997, 37.991588), (23.732528, 37.991588), (23.732533, 37.991588), (23.732537999999998, 37.991588), (23.732543, 37.991588), (23.732547999999998, 37.991583), (23.732553, 37.991583), (23.732557999999997, 37.991583), (23.732563, 37.991583), (23.732567999999997, 37.991583), (23.732573, 37.991583), (23.732578, 37.991578), (23.732582999999998, 37.991578), (23.732588, 37.991578), (23.732592999999998, 37.991578), (23.732598, 37.991578), (23.732602999999997, 37.991578), (23.732608, 37.991572999999995), (23.732612999999997, 37.991572999999995), (23.732618, 37.991572999999995), (23.732622999999997, 37.991572999999995), (23.732628, 37.991572999999995), (23.732633, 37.991572999999995), (23.732637999999998, 37.991568), (23.732643, 37.991568), (23.732647999999998, 37.991568), (23.732653, 37.991568), (23.732657999999997, 37.991568), (23.732663, 37.991568), (23.732667999999997, 37.991568), (23.732673, 37.991563), (23.732678, 37.991563), (23.732682999999998, 37.991563), (23.732688, 37.991563), (23.732692999999998, 37.991563), (23.732698, 37.991563), (23.732702999999997, 37.991558), (23.732708, 37.991558), (23.732712999999997, 37.991558), (23.732718, 37.991558), (23.732723, 37.991558), (23.732727999999998, 37.991558), (23.732733, 37.991558), (23.732737999999998, 37.991552999999996), (23.732743, 37.991552999999996), (23.732747999999997, 37.991552999999996), (23.732753, 37.991552999999996), (23.732757999999997, 37.991552999999996), (23.732763, 37.991552999999996), (23.732768, 37.991548), (23.732772999999998, 37.991548), (23.732778, 37.991548), (23.732782999999998, 37.991548), (23.732788, 37.991548), (23.732792999999997, 37.991548), (23.732798, 37.991543), (23.732802999999997, 37.991543), (23.732808, 37.991543), (23.732813, 37.991543), (23.732817999999998, 37.991543), (23.732823, 37.991543), (23.732827999999998, 37.991543), (23.732833, 37.991538), (23.732837999999997, 37.991538), (23.732843, 37.991538), (23.732847999999997, 37.991538), (23.732853, 37.991538), (23.732857999999997, 37.991538), (23.732863, 37.991533), (23.732868, 37.991533), (23.732872999999998, 37.991533), (23.732878, 37.991533), (23.732882999999998, 37.991533), (23.732888, 37.991533), (23.732892999999997, 37.991527999999995), (23.732898, 37.991527999999995), (23.732902999999997, 37.991527999999995), (23.732908, 37.991527999999995), (23.732913, 37.991527999999995), (23.732917999999998, 37.991527999999995), (23.732923, 37.991523), (23.732927999999998, 37.991523), (23.732933, 37.991523), (23.732937999999997, 37.991523), (23.732943, 37.991523), (23.732947999999997, 37.991523), (23.732953, 37.991523), (23.732958, 37.991518), (23.732962999999998, 37.991518), (23.732968, 37.991518), (23.732972999999998, 37.991518), (23.732978, 37.991518), (23.732982999999997, 37.991518), (23.732988, 37.991518), (23.732992999999997, 37.991513), (23.732998, 37.991513), (23.733003, 37.991513), (23.733007999999998, 37.991513), (23.733013, 37.991513), (23.733017999999998, 37.991513), (23.733023, 37.991507999999996), (23.733027999999997, 37.991507999999996), (23.733033, 37.991507999999996), (23.733037999999997, 37.991507999999996), (23.733043, 37.991507999999996), (23.733048, 37.991507999999996), (23.733052999999998, 37.991503), (23.733058, 37.991503), (23.733062999999998, 37.991503), (23.733068, 37.991503), (23.733072999999997, 37.991503), (23.733078, 37.991503), (23.733082999999997, 37.991503), (23.733088, 37.991498), (23.733092999999997, 37.991498), (23.733098, 37.991498), (23.733103, 37.991498), (23.733107999999998, 37.991498), (23.733113, 37.991493), (23.733117999999997, 37.991493), (23.733123, 37.991493), (23.733127999999997, 37.991493), (23.733133, 37.991493), (23.733137999999997, 37.991493), (23.733143, 37.991488), (23.733148, 37.991488), (23.733152999999998, 37.991488), (23.733158, 37.991488), (23.733162999999998, 37.991488), (23.733168, 37.991488), (23.733172999999997, 37.991488), (23.733178, 37.991482999999995), (23.733182999999997, 37.991482999999995), (23.733188, 37.991482999999995), (23.733193, 37.991482999999995), (23.733197999999998, 37.991482999999995), (23.733203, 37.991482999999995), (23.733207999999998, 37.991478), (23.733213, 37.991478), (23.733217999999997, 37.991478), (23.733223, 37.991478), (23.733227999999997, 37.991478), (23.733233, 37.991478), (23.733238, 37.991473), (23.733242999999998, 37.991473), (23.733248, 37.991473), (23.733252999999998, 37.991473), (23.733258, 37.991473), (23.733262999999997, 37.991473), (23.733268, 37.991473), (23.733272999999997, 37.991468), (23.733278, 37.991468), (23.733283, 37.991468), (23.733287999999998, 37.991468), (23.733293, 37.991468), (23.733297999999998, 37.991468), (23.733303, 37.991462999999996), (23.733307999999997, 37.991462999999996), (23.733313, 37.991462999999996), (23.733317999999997, 37.991462999999996), (23.733323, 37.991462999999996), (23.733328, 37.991462999999996), (23.733333, 37.991458), (23.733338, 37.991458), (23.733342999999998, 37.991458), (23.733348, 37.991458), (23.733352999999997, 37.991458), (23.733358, 37.991458), (23.733362999999997, 37.991453), (23.733368, 37.991453), (23.733372999999997, 37.991453), (23.733378, 37.991453), (23.733383, 37.991453), (23.733387999999998, 37.991453), (23.733393, 37.991448), (23.733397999999998, 37.991448), (23.733403, 37.991448), (23.733407999999997, 37.991448), (23.733413, 37.991448), (23.733417999999997, 37.991448), (23.733423, 37.991448), (23.733428, 37.991443), (23.733432999999998, 37.991443), (23.733438, 37.991443), (23.733442999999998, 37.991443), (23.733448, 37.991443), (23.733452999999997, 37.991443), (23.733458, 37.991437999999995), (23.733462999999997, 37.991437999999995), (23.733468, 37.991437999999995), (23.733473, 37.991437999999995), (23.733477999999998, 37.991437999999995), (23.733483, 37.991437999999995), (23.733487999999998, 37.991433), (23.733493, 37.991433), (23.733497999999997, 37.991433), (23.733503, 37.991433), (23.733507999999997, 37.991433), (23.733513, 37.991433), (23.733518, 37.991433), (23.733522999999998, 37.991428), (23.733528, 37.991428), (23.733532999999998, 37.991428), (23.733538, 37.991428), (23.733542999999997, 37.991428), (23.733548, 37.991428), (23.733552999999997, 37.991423), (23.733558, 37.991423), (23.733563, 37.991423), (23.733567999999998, 37.991423), (23.733573, 37.991423), (23.733577999999998, 37.991423), (23.733583, 37.991417999999996), (23.733587999999997, 37.991417999999996), (23.733593, 37.991417999999996), (23.733597999999997, 37.991417999999996), (23.733603, 37.991417999999996), (23.733607999999997, 37.991417999999996), (23.733613, 37.991417999999996), (23.733618, 37.991413), (23.733622999999998, 37.991413), (23.733628, 37.991413), (23.733632999999998, 37.991413), (23.733638, 37.991413), (23.733642999999997, 37.991413), (23.733648, 37.991413), (23.733652999999997, 37.991408), (23.733658, 37.991408), (23.733663, 37.991408), (23.733667999999998, 37.991408), (23.733673, 37.991408)]"
,,,,,
OktovriouIs28_tw_LeofAlexandras,515.64,68,41.34150457,7,"[(23.731768, 37.991578), (23.731762999999997, 37.991572999999995), (23.731758, 37.991572999999995), (23.731752999999998, 37.991572999999995), (23.731748, 37.991568), (23.731742999999998, 37.991568), (23.731738, 37.991563), (23.731733, 37.991563), (23.731727999999997, 37.991558), (23.731723, 37.991558), (23.731717999999997, 37.991552999999996), (23.731713, 37.991552999999996), (23.731707999999998, 37.991548), (23.731703, 37.991548), (23.731697999999998, 37.991543), (23.731693, 37.991543), (23.731688, 37.991538), (23.731682999999997, 37.991538), (23.731678, 37.991533), (23.731672999999997, 37.991533), (23.731668, 37.991527999999995), (23.731662999999998, 37.991527999999995), (23.731658, 37.991523), (23.731652999999998, 37.991523), (23.731648, 37.991518), (23.731643, 37.991518), (23.731637999999997, 37.991518), (23.731633, 37.991513), (23.731627999999997, 37.991513), (23.731623, 37.991507999999996), (23.731617999999997, 37.991507999999996), (23.731613, 37.991503), (23.731607999999998, 37.991503), (23.731603, 37.991498), (23.731597999999998, 37.991498), (23.731593, 37.991498), (23.731588, 37.991493), (23.731582999999997, 37.991493), (23.731578, 37.991488), (23.731572999999997, 37.991488), (23.731568, 37.991488), (23.731562999999998, 37.991482999999995), (23.731558, 37.991482999999995), (23.731552999999998, 37.991478), (23.731548, 37.991478), (23.731543, 37.991478), (23.731537999999997, 37.991473), (23.731533, 37.991473), (23.731527999999997, 37.991468), (23.731523, 37.991468), (23.731517999999998, 37.991462999999996), (23.731513, 37.991462999999996), (23.731507999999998, 37.991458), (23.731503, 37.991458), (23.731498, 37.991453), (23.731492999999997, 37.991453), (23.731488, 37.991453), (23.731482999999997, 37.991448), (23.731478, 37.991448), (23.731472999999998, 37.991443), (23.731468, 37.991443), (23.731462999999998, 37.991437999999995), (23.731458, 37.991433), (23.731453, 37.991433), (23.731447999999997, 37.991433), (23.731443, 37.991428), (23.731437999999997, 37.991428), (23.731433, 37.991423)]"
,,,,,
OktovriouIs28_tw_South,344.96,134,75.88981486,12,"[(23.731388, 37.992063), (23.731388, 37.992067999999996), (23.731388, 37.992073), (23.731388, 37.992078), (23.731388, 37.992083), (23.731388, 37.992087999999995), (23.731392999999997, 37.992093), (23.731392999999997, 37.992098), (23.731392999999997, 37.992103), (23.731392999999997, 37.992108), (23.731392999999997, 37.992112999999996), (23.731392999999997, 37.992118), (23.731392999999997, 37.992123), (23.731392999999997, 37.992128), (23.731392999999997, 37.992132999999995), (23.731398, 37.992138), (23.731398, 37.992143), (23.731398, 37.992148), (23.731398, 37.992153), (23.731398, 37.992157999999996), (23.731398, 37.992163), (23.731398, 37.992168), (23.731398, 37.992173), (23.731398, 37.992177999999996), (23.731402999999997, 37.992183), (23.731402999999997, 37.992188), (23.731402999999997, 37.992193), (23.731402999999997, 37.992198), (23.731402999999997, 37.992202999999996), (23.731402999999997, 37.992208), (23.731402999999997, 37.992213), (23.731402999999997, 37.992218), (23.731408, 37.992222999999996), (23.731408, 37.992228), (23.731408, 37.992233), (23.731408, 37.992238), (23.731408, 37.992242999999995), (23.731408, 37.992248), (23.731413, 37.992253), (23.731413, 37.992258), (23.731413, 37.992263), (23.731413, 37.992267999999996), (23.731413, 37.992273), (23.731413, 37.992278), (23.731417999999998, 37.992283), (23.731417999999998, 37.992287999999995), (23.731417999999998, 37.992293), (23.731417999999998, 37.992298), (23.731417999999998, 37.992303), (23.731423, 37.992308), (23.731423, 37.992312999999996), (23.731423, 37.992318), (23.731423, 37.992323), (23.731427999999998, 37.992328), (23.731427999999998, 37.992332999999995), (23.731427999999998, 37.992338), (23.731427999999998, 37.992343), (23.731427999999998, 37.992348), (23.731433, 37.992353), (23.731433, 37.992357999999996), (23.731433, 37.992363), (23.731433, 37.992368), (23.731433, 37.992373), (23.731437999999997, 37.992377999999995), (23.731437999999997, 37.992383), (23.731437999999997, 37.992388), (23.731437999999997, 37.992393), (23.731443, 37.992398), (23.731443, 37.992402999999996), (23.731443, 37.992408), (23.731443, 37.992413), (23.731443, 37.992418), (23.731447999999997, 37.992422999999995), (23.731447999999997, 37.992428), (23.731447999999997, 37.992433), (23.731447999999997, 37.992438), (23.731453, 37.992443), (23.731453, 37.992447999999996), (23.731453, 37.992453), (23.731453, 37.992458), (23.731458, 37.992463), (23.731458, 37.992467999999995), (23.731458, 37.992473), (23.731458, 37.992478), (23.731458, 37.992483), (23.731462999999998, 37.992488), (23.731462999999998, 37.992492999999996), (23.731462999999998, 37.992498), (23.731462999999998, 37.992503), (23.731468, 37.992508), (23.731468, 37.992512999999995), (23.731468, 37.992518), (23.731468, 37.992523), (23.731472999999998, 37.992528), (23.731472999999998, 37.992533), (23.731472999999998, 37.992537999999996), (23.731472999999998, 37.992543), (23.731478, 37.992548), (23.731478, 37.992553), (23.731478, 37.992557999999995), (23.731478, 37.992563), (23.731482999999997, 37.992568), (23.731482999999997, 37.992573), (23.731482999999997, 37.992578), (23.731482999999997, 37.992582999999996), (23.731488, 37.992588), (23.731488, 37.992593), (23.731488, 37.992598), (23.731488, 37.992602999999995), (23.731492999999997, 37.992608), (23.731492999999997, 37.992613), (23.731492999999997, 37.992618), (23.731492999999997, 37.992623), (23.731498, 37.992627999999996), (23.731498, 37.992633), (23.731498, 37.992638), (23.731498, 37.992643), (23.731503, 37.992647999999996), (23.731503, 37.992653), (23.731503, 37.992658), (23.731503, 37.992663), (23.731503, 37.992668), (23.731507999999998, 37.992672999999996), (23.731507999999998, 37.992678), (23.731507999999998, 37.992683), (23.731507999999998, 37.992688), (23.731513, 37.992692999999996), (23.731513, 37.992698), (23.731513, 37.992703), (23.731513, 37.992708), (23.731517999999998, 37.992712999999995), (23.731517999999998, 37.992717999999996), (23.731517999999998, 37.992723), (23.731517999999998, 37.992728)]"
,,,,,
Longitude,Latitude,Object_ID,Time,SpillBack_Route_area,
,,,,,
23.73261,23.73261,124,5.64,LeofAlexandras_tw_28isOktovriou,
